EnhetNavn;Kommune;lat;lng
Arendal International School (Ais);Arendal;58.432075;8.74147
Asdal skole;Arendal;58.435024;8.694807
Birkenlund skole;Arendal;58.470299;8.792936
Eydehavn skole;Arendal;58.5095539;8.8692752
Flosta skole;Arendal;58.552887;8.972653
Grimstad International School AS;Arendal;58.337531;8.5807805
Hisøy skole 1-10 Skoler;Arendal;58.4449844;8.7652587
Moltemyr skole;Arendal;58.475933;8.764561
Myra skole;Arendal;58.484573;8.732923
Nedenes skole;Arendal;58.4131671;8.7094974
Nesheim skole;Levanger - Levangke;58.517195;8.781854
Roligheden skole Barne-/Ungdomstrinnet;Arendal;58.455447;8.803997
Rykene oppvekstsenter avd skole;Arendal;58.41159200000001;8.633167199999999
Sandnes skole;Hadsel;68.584484;14.909814
St. Franciskus skole;Arendal;58.4577927;8.7659565
Stiftelsen steinerskolen i Arendal;Arendal;58.4761148;8.7559636
Stinta skole barne- og Ungdomstrinnet;Arendal;58.462557;8.7579788
Strømmen oppvekstsenter avd skole;Arendal;58.45051489999999;8.742611499999999
Stuenes skole barne- og Ungdomstrinn;Arendal;58.492494;8.847901
Birkeland skole;Birkenes;58.3208908;8.2415812
Engesland skole;Birkenes;58.52942;8.11796
Herefoss skole;Birkenes;58.519119;8.353069
Bygland skule;Bygland;58.831722;7.798301
Byglandsfjord skule;Bygland;58.666517;7.812333
Bykle barne- og ungdomsskule;Bykle;59.3567449;7.3586337
Fjellgardane skule;Bykle;59.5639832;7.3558341
Evje barneskule;Evje og Hornnes;58.590928;7.82098
Hornnes barneskule;Evje og Hornnes;58.567555;7.763544
Borhaug skole;Farsund;58.0998155;6.585855
Farsund barneskole;Farsund;58.0928756;6.7954073
Vanse skole;Farsund;58.1045097;6.6946259
Gyland skole;Flekkefjord;58.37619;6.834008
Hidra skole;Flekkefjord;58.232993;6.554486
Sira skole;Flekkefjord;58.415733;6.660056
Sunde skole;Stavanger;58.960909;5.623613
Froland barneskole;Froland;58.512397;8.632294
Mykland skole;Froland;58.632134;8.294034
Abel skole;Gjerstad;58.839058;9.094655
Eide skole;Grimstad;58.2691361;8.5048766
Fevik skole;Grimstad;58.381716;8.679816
Fjære barneskole;Grimstad;58.3698544;8.622854
Frivoll skole;Grimstad;58.3466;8.577291
Hesnes skole montessoriskolen i Grimstad;Grimstad;58.343523;8.618342
Holviga barneskole;Grimstad;58.324293;8.567059
Jappa skole;Grimstad;58.348336;8.588836
Landvik skole;Grimstad;58.3490726;8.5351871
Eiken skule;Hægebostad;58.487218;7.19692
Kollemo skule;Hægebostad;58.383446;7.215788
Iveland skole;Iveland;58.456334;7.919944
Brattbakken skole;Kristiansand;58.1786705;8.0918534
Fagerholt skole;Kristiansand;58.1793204;8.0340622
Finsland skole;Kristiansand;58.2736055;7.585993
Flekkerøy skole;Kristiansand;58.078851;7.995235
Hellemyr skole;Kristiansand;58.1474858;7.9357089
Hellemyr skole Kompetanse;Kristiansand;58.1473505;7.9367722
Justvik skole;Kristiansand;58.2039818;8.0300722
Karl Johans Minne skole;Kristiansand;58.1482673;7.9558781
Karuss skole;Kristiansand;58.1292669;7.9499914
Kringsjå skole;Oslo;59.9625895;10.7299529
Kristiansand Internasjonale skole;Kristiansand;58.156184;8.018051
Krossen skole;Kristiansand;58.1534313;7.9547858
Krossen skole - Kompetanse;Kristiansand;58.1539482;7.9535881
Langenes skole;Kristiansand;58.078205;7.855842
Lovisenlund skole;Kristiansand;58.1564012;8.0096264
Lunde skole;Kristiansand;58.0967352;7.7711289
Mosby oppvekssenter skole;Kristiansand;58.2203603;7.9239569
Nygård skole;Kristiansand;58.089446;7.816021
Oasen skole Birkelid AS;Kristiansand;58.1253102;7.844828299999999
Oasen skole Strømme AS grunnskole;Kristiansand;58.1548321;8.0760794
Oasen skole Vågsbygd AS;Kristiansand;58.11919280000001;7.9475772
Odderhei skole;Kristiansand;58.1341882;8.076199
Presteheia skole;Kristiansand;58.16641;8.0110319
Rosseland skole;Kristiansand;58.134302;7.858253
Samfundets skole Sentrum;Kristiansand;58.149636;7.993728
Sjøstrand skole;Kristiansand;58.1019688;7.9759944
Slettheia skole;Kristiansand;58.1331082;7.9614618
Solholmen skole;Kristiansand;58.1479291;7.9696061
Stiftelsen steinerskolen i Kristiansand;Kristiansand;58.1591762;8.0152391
Strømme skole;Kristiansand;58.1529083;8.0814148
Tordenskjoldsgate skole;Kristiansand;58.1501825;7.9925454
Torridal skole;Kristiansand;58.2044254;7.927384
Tunballen skole;Kristiansand;58.169123;7.858572
Vardåsen skole;Asker;59.8194701;10.3792916
Ve skole;Kristiansand;58.207817;8.110378
Voiebyen skole;Kristiansand;58.1004299;7.94905
Vågsbygd skole;Kristiansand;58.1240155;7.9564345
Wilds Minne skole;Kristiansand;58.1494345;8.0239556
Austerdalen skole;Kvinesdal;58.356228;7.033009
Feda skole;Kvinesdal;58.270544;6.817146
Kvinlog skule;Kvinesdal;58.5208294;6.9324785
Liknes skole;Kvinesdal;58.3132;6.965267
Vesterdalen skole;Kvinesdal;58.384629;6.957211
Justøy skole - montessoriskolen i Lillesand Sti;Lillesand;58.2097157;8.3642904
Lillesand kommune - Borkedalen skole;Lillesand;58.2442548;8.3628812
Lillesand kommune - Brentemoen skole;Lillesand;58.2512604;8.3773869
Lillesand kommune - Høvåg skole;Lillesand;58.1593707;8.217202499999999
Lillesand kommune - Tingsaker skole;Lillesand;58.2599774;8.3992983
Bjelland skole;Lindesnes;58.383364;7.525785
Frøysland skole;Lindesnes;58.037979;7.453255
Furulunden skole;Lindesnes;58.024961;7.446878
Holum skole;Lindesnes;58.096895;7.522335
Ime skole;Lindesnes;58.033417;7.492194
Laudal skole;Lindesnes;58.2475881;7.4982189
Nyplass skole;Lindesnes;58.081044;7.312257
Oasen skole Mandal AS;Lindesnes;58.0334803;7.454668700000001
Spangereid skole;Lindesnes;58.0472581;7.1354322
Vigmostad skole;Lindesnes;58.201928;7.337459
Øyslebø skole;Lindesnes;58.1711322;7.5587268
Berge barneskole;Lyngdal;58.1364648;7.068251
Byremo barneskule;Lyngdal;58.4231356;7.4042642
Konsmo skole;Lyngdal;58.2997439;7.3611687
Kvås skole;Lyngdal;58.246447;7.185249
Stiftelsen Lyngdal Kristne grunnskole;Lyngdal;58.129238;7.065723999999999
Å barneskole;Lyngdal;58.1591023;7.0961533
Årnes skole;Nes;60.129706;11.476634
Hope oppvekstsenter Avdeling skole;Risør;58.6895508;9.1462124
Risør barneskole;Risør;58.716532;9.219084
Søndeled skole;Risør;58.762854;9.081439
Sinnes skule;Sirdal;58.913905;6.884116
Tonstad skule;Sirdal;58.671944;6.721219
Tvedestrand barneskole;Tvedestrand;58.6293317;8.9374461
Valle skule;Ålesund;62.47841;6.661038
Vegårshei skule;Vegårshei;58.75259;8.861058
Eikeland oppvekstsenter Avdeling skole;Vennesla;58.3392091;7.8096552
Kvarstein skole;Vennesla;58.237717;7.939567
Moseidmoen skole;Vennesla;58.2602514;7.9581254
Oasen skole Vennesla AS;Vennesla;58.2777255;7.970207
Skarpengland skole;Vennesla;58.2946496;7.8526035
Vennesla skole;Vennesla;58.2759824;7.9724086
Åmli skule;Åmli;58.772319;8.49638
Åseral barne- og ungdomsskule;Åseral;58.61885;7.420922
Arnestad skole;Asker;59.802259;10.489535
Billingstad skole;Asker;59.8748103;10.4733436
Blakstad skole;Asker;59.8126073;10.4559585
Bondi skole;Asker;59.8241209;10.439695
Brusetkollen skole og ressurssenter;Asker;59.8522769;10.459565
Drengsrud skole;Asker;59.8291591;10.4030218
Folkestad skole;Asker;59.551606;10.465046
Frydenlund skole;Narvik;68.4412587;17.4152958
Hagaløkka skole;Asker;59.8304179;10.422298
Heggedal skole;Asker;59.791514;10.4449062
