EnhetNavn;Kommune;Engelsk;Lesing;Regning;lat;lng
Arendal International School (Ais);Arendal;59;49;51;;
Asdal skole;Arendal;;;;;
Birkenlund skole;Arendal;;;;;
Eydehavn skole;Arendal;;;;;
Flosta skole;Arendal;47;*;53;;
Hisøy skole 1-10 Skoler;Arendal;49;52;51;;
Moltemyr skole;Arendal;46;41;;;
Myra skole;Arendal;;46;49;;
Nedenes skole;Arendal;;51;;;
Nesheim skole;Arendal;47;48;50;;
Roligheden skole Barne-/Ungdomstrinnet;Arendal;;;;;
Rykene oppvekstsenter avd skole;Arendal;;48;50;;
Sandnes skole;Arendal;48;50;50;;
St. Franciskus skole;Arendal;50;48;50;;
Stiftelsen steinerskolen i Arendal;Arendal;53;58;55;;
Stinta skole barne- og Ungdomstrinnet;Arendal;49;48;46;;
Strømmen oppvekstsenter avd skole;Arendal;48;47;46;;
Stuenes skole barne- og Ungdomstrinn;Arendal;;*;;;
Birkeland skole;Birkenes;*;*;*;;
Herefoss skole;Birkenes;*;*;*;;
Bygland skule;Bygland;*;*;*;;
Byglandsfjord skule;Bygland;*;*;*;;
Bykle barne- og ungdomsskule;Bykle;*;*;*;;
Fjellgardane skule;Bykle;*;*;*;;
Evje barneskule;Evje og Hornnes;51;48;50;;
Hornnes barneskule;Evje og Hornnes;49;51;57;;
Borhaug skole;Farsund;51;49;50;;
Farsund barneskole;Farsund;51;51;50;;
Vanse skole;Farsund;52;51;53;;
Gyland skole;Flekkefjord;*;*;*;;
Hidra skole;Flekkefjord;*;*;*;;
Sira skole;Flekkefjord;45;45;47;;
Sunde skole;Flekkefjord;50;51;51;;
Froland barneskole;Froland;*;*;*;;
Mykland skole;Froland;*;*;*;;
Abel skole;Gjerstad;42;43;40;;
Eide skole;Grimstad;51;52;*;;
Fevik skole;Grimstad;48;50;48;;
Fjære barneskole;Grimstad;49;*;52;;
Frivoll skole;Grimstad;49;*;*;;
Hesnes skole montessoriskolen i Grimstad;Grimstad;43;*;*;;
Holviga barneskole;Grimstad;48;50;51;;
Jappa skole;Grimstad;46;48;47;;
Landvik skole;Grimstad;46;50;50;;
Eiken skule;Hægebostad;43;46;48;;
Kollemo skule;Hægebostad;48;49;49;;
Iveland skole;Iveland;46;45;45;;
Brattbakken skole;Kristiansand;53;51;52;;
Fagerholt skole;Kristiansand;53;55;57;;
Finsland skole;Kristiansand;46;46;46;;
Flekkerøy skole;Kristiansand;48;52;51;;
Hellemyr skole;Kristiansand;48;48;47;;
Hellemyr skole Kompetanse;Kristiansand;;;;;
Justvik skole;Kristiansand;45;47;47;;
Karl Johans Minne skole;Kristiansand;56;53;52;;
Karuss skole;Kristiansand;50;47;45;;
Kringsjå skole;Kristiansand;50;55;52;;
Krossen skole;Kristiansand;50;45;45;;
Krossen skole - Kompetanse;Kristiansand;;;;;
Langenes skole;Kristiansand;49;55;52;;
Lovisenlund skole;Kristiansand;50;52;50;;
Lunde skole;Kristiansand;47;46;47;;
Mosby oppvekssenter skole;Kristiansand;51;51;51;;
Nygård skole;Kristiansand;48;46;46;;
Oasen skole Birkelid AS;Kristiansand;50;53;50;;
Oasen skole Strømme AS grunnskole;Kristiansand;*;*;*;;
Odderhei skole;Kristiansand;50;51;53;;
Presteheia skole;Kristiansand;48;54;50;;
Rosseland skole;Kristiansand;50;49;51;;
Samfundets skole Sentrum;Kristiansand;52;59;59;;
Sjøstrand skole;Kristiansand;50;50;51;;
Slettheia skole;Kristiansand;50;45;46;;
Solholmen skole;Kristiansand;49;50;50;;
Stiftelsen steinerskolen i Kristiansand;Kristiansand;*;*;*;;
Strømme skole;Kristiansand;53;51;51;;
Tordenskjoldsgate skole;Kristiansand;53;49;47;;
Torridal skole;Kristiansand;47;47;47;;
Tunballen skole;Kristiansand;49;47;46;;
Vardåsen skole;Kristiansand;47;51;48;;
Ve skole;Kristiansand;51;45;47;;
Voiebyen skole;Kristiansand;47;48;46;;
Vågsbygd skole;Kristiansand;50;48;48;;
Wilds Minne skole;Kristiansand;46;49;51;;
Austerdalen skole;Kvinesdal;42;42;47;;
Feda skole;Kvinesdal;52;51;53;;
Kvinlog skule;Kvinesdal;*;*;*;;
Liknes skole;Kvinesdal;49;50;49;;
Vesterdalen skole;Kvinesdal;*;*;*;;
Justøy skole - montessoriskolen i Lillesand Sti;Lillesand;*;*;*;;
