EnhetNavn;Kommune;Engelsk;Lesing;Regning;lat;lng
Arendal International School (Ais);Arendal;*;*;*;;
Asdal skole;Arendal;;;;;
Birkenlund skole;Arendal;;;;;
Hisøy skole 1-10 Skoler;Arendal;;;56;;
Moltemyr skole;Arendal;;*;47;;
Nedenes skole;Arendal;;;;;
Roligheden skole Barne-/Ungdomstrinnet;Arendal;;*;;;
St. Franciskus skole;Arendal;49;47;48;;
Stiftelsen steinerskolen i Arendal;Arendal;*;*;*;;
Stinta skole barne- og Ungdomstrinnet;Arendal;;;49;;
Stuenes skole barne- og Ungdomstrinn;Arendal;48;;47;;
Engesland skole;Birkenes;*;*;*;;
Valstrand skole;Birkenes;*;*;*;;
Bygland skule;Bygland;54;53;51;;
Bykle barne- og ungdomsskule;Bykle;54;*;*;;
Evje ungdomsskule;Evje og Hornnes;48;48;50;;
Farsund ungdomsskole;Farsund;47;49;51;;
Lista ungdomsskole;Farsund;49;50;50;;
Flekkefjord ungdomsskole;Flekkefjord;48;50;52;;
Froland ungdomsskole;Froland;49;49;49;;
Abel skole;Gjerstad;46;46;46;;
Drottningborg ungdomsskole AS;Grimstad;50;49;51;;
Fevik skole;Grimstad;48;50;50;;
Grimstad ungdomsskole;Grimstad;49;49;50;;
Holviga ungdomsskole;Grimstad;50;50;53;;
Iveland skole;Iveland;51;51;50;;
Finsland skole;Kristiansand;*;*;*;;
Fiskå skole;Kristiansand;50;49;48;;
Grim skole;Kristiansand;49;47;48;;
Haumyrheia skole;Kristiansand;50;50;50;;
Havlimyra skole;Kristiansand;49;48;51;;
Holte skole;Kristiansand;49;51;52;;
Karuss skole;Kristiansand;47;47;48;;
Krossen skole - Kompetanse;Kristiansand;*;*;*;;
Lindebøskauen skole;Kristiansand;48;50;52;;
Møvig skole;Kristiansand;49;49;49;;
Oasen skole Birkelid AS;Kristiansand;46;50;*;;
Oasen skole Strømme AS grunnskole;Kristiansand;51;49;51;;
Oasen skole Vågsbygd AS;Kristiansand;*;*;45;;
Oddemarka skole;Kristiansand;49;49;51;;
Samfundets skole Sentrum;Kristiansand;51;56;59;;
Songdalen skole;Kristiansand;48;48;46;;
Stiftelsen steinerskolen i Kristiansand;Kristiansand;*;*;*;;
Tangvall skole;Kristiansand;51;51;52;;
Tinntjønn skole;Kristiansand;46;49;47;;
Torridal skole;Kristiansand;49;46;50;;
Ve skole;Kristiansand;49;49;47;;
Vigvoll skole;Kristiansand;49;50;48;;
Kvinesdal ungdomsskole;Kvinesdal;*;*;*;;
Kvinlog skule;Kvinesdal;*;*;*;;
Lillesand kommune - Høvåg skole;Lillesand;49;50;51;;
Lillesand kommune - Lillesand ungdomsskole;Lillesand;49;50;49;;
Blomdalen ungdomsskole;Lindesnes;51;52;51;;
Oasen skole Mandal AS;Lindesnes;*;*;*;;
Vassmyra ungdomsskole;Lindesnes;47;48;50;;
Vigeland ungdomsskole;Lindesnes;*;*;*;;
Øyslebø skole;Lindesnes;*;*;*;;
Byremo ungdomsskole;Lyngdal;48;48;49;;
Lyngdal ungdomsskole;Lyngdal;47;46;47;;
Stiftelsen Lyngdal Kristne grunnskole;Lyngdal;48;50;50;;
Risør ungdomsskole;Risør;46;50;49;;
Sinnes skule;Sirdal;*;*;*;;
Tonstad skule;Sirdal;*;*;*;;
Lyngmyr skole;Tvedestrand;49;49;49;;
Valle skule;Valle;52;52;50;;
Vegårshei skule;Vegårshei;46;50;51;;
Oasen skole Vennesla AS;Vennesla;*;*;*;;
Skarpengland skole;Vennesla;*;*;*;;
Vennesla ungdomsskole;Vennesla;*;*;*;;
Åmli skule;Åmli;49;48;49;;
Åseral barne- og ungdomsskule;Åseral;*;*;*;;
Alvdal ungdomsskole;Alvdal;47;46;47;;
Dovre ungdomsskole;Dovre;45;46;45;;
Eidskog ungdomsskole;Eidskog;47;49;47;;
Elverum ungdomsskole;Elverum;49;50;50;;
Engerdal barne- og ungdomsskole;Engerdal;*;*;*;;
Etnedal skule;Etnedal;51;54;52;;
Folldal skole;Folldal;45;50;47;;
Gausdal ungdomsskole;Gausdal;47;48;48;;
Biri ungdomsskole;Gjøvik;;;;;
Bjørnsveen ungdomsskole;Gjøvik;;;;;
Kopperud skole;Gjøvik;*;;;;
Snertingdal skole;Gjøvik;*;42;45;;
Steinerskolen Gjøvik-Toten;Gjøvik;*;41;43;;
Vardal ungdomsskole;Gjøvik;;49;;;
Bjoneroa skole;Gran;*;*;*;;
Brandbu ungdomsskole;Gran;50;50;50;;
Gran ungdomsskole;Gran;*;*;*;;
Grue barne- og ungdomsskole;Grue;46;49;46;;
Ajer ungdomsskole;Hamar;51;51;51;;
Børstad ungdomsskole;Hamar;51;51;51;;
Ener ungdomsskole;Hamar;53;53;52;;
Hamar Montessori skole Sti;Hamar;44;37;39;;
Wang Hamar AS;Hamar;48;50;50;;
Austmarka barne- og ungdomsskole;Kongsvinger;*;*;*;;
Kongsvinger ungdomsskole;Kongsvinger;*;*;*;;
Norges Toppidrettsgymnas ungdomsskole Kongsvinger AS;Kongsvinger;52;56;56;;
Lesja skule;Lesja;*;*;*;;
Lesjaskog skule;Lesja;*;*;*;;
Engesvea barne- og ungdomsskole;Lillehammer;*;*;*;;
Hammartun skole;Lillehammer;52;53;51;;
Norges Toppidrettsgymnas ungdomsskole Lillehammer AS;Lillehammer;52;54;55;;
Smestad ungdomsskole;Lillehammer;51;52;51;;
Stiftelsen Lillehammer steinerskole;Lillehammer;*;*;*;;
Åretta ungdomsskole;Lillehammer;50;51;51;;
Lom ungdomsskule;Lom;52;52;51;;
Hedemarken friskole;Løten;52;*;54;;
Løten ungdomsskole;Løten;48;*;47;;
Nord-Aurdal ungdomsskole;Nord-Aurdal;*;*;*;;
Valdres montessoriskule SA;Nord-Aurdal;*;*;*;;
Vinstra ungdomsskole;Nord-Fron;45;47;47;;
Nord-Odal ungdomsskole;Nord-Odal;46;48;48;;
Nordre Land kommune 0-24 Torpa barne- og ungdomsskole;Nordre Land;47;53;51;;
Nordre Land kommune Dokka barne- og ungdomsskole;Nordre Land;48;48;46;;
Os skole;Os;50;48;49;;
Fagertun skole;Rendalen;43;50;48;;
Ringebu ungdomsskole;Ringebu;48;49;50;;
Brumunddal ungdomsskole;Ringsaker;47;47;46;;
Brøttum barne- og ungdomsskole;Ringsaker;51;51;50;;
Furnes ungdomsskole;Ringsaker;49;50;48;;
Moelv ungdomsskole;Ringsaker;44;46;46;;
Nes ungdomsskole;Ringsaker;50;52;49;;
Heidal skule;Sel;*;*;*;;
Otta ungdomsskole;Sel;*;*;*;;
Skjåk barne- og ungdomsskule;Skjåk;50;49;47;;
Ottestad ungdomsskole;Stange;52;52;*;;
Romedal ungdomsskole;Stange;48;49;*;;
Stange ungdomsskole;Stange;51;51;*;;
Steinerskolen på Hedemarken avd grunnskolen Ottestad;Stange;47;55;*;;
Stor-Elvdal ungdomsskole;Stor-Elvdal;46;50;52;;
Søndre Land ungdomsskole;Søndre Land;46;47;47;;
Hedalen barne- og ungdomsskole;Sør-Aurdal;*;*;*;;
Sør-Aurdal ungdomsskole;Sør-Aurdal;*;*;*;;
Sør-Fron ungdomsskule;Sør-Fron;47;50;51;;
Glommasvingen skole;Sør-Odal;49;49;48;;
Tolga skole;Tolga;47;52;52;;
Trysil ungdomsskole;Trysil;50;51;48;;
Kvikne skole;Tynset;48;48;50;;
Tynset ungdomsskole;Tynset;49;53;51;;
Vang barne- og ungdomsskule;Vang;48;50;50;;
Vestre Slidre skule;Vestre Slidre;51;50;51;;
Vestre Toten ungdomsskole;Vestre Toten;47;47;46;;
