EnhetNavn;Kommune;Engelsk;Lesing;Regning;lat;lng
Arendal International School (Ais);Arendal;62;46;52;58.432075;8.74147
Asdal skole;Arendal;52;51;50;58.435024;8.694807
Birkenlund skole;Arendal;48;47;46;58.470299;8.792936
Eydehavn skole;Arendal;52;46;53;58.5095539;8.8692752
Flosta skole;Arendal;*;*;*;58.552887;8.972653
Grimstad International School AS;Arendal;*;*;*;58.337531;8.5807805
Hisøy skole 1-10 Skoler;Arendal;53;51;53;0;0
Moltemyr skole;Arendal;46;42;40;58.475933;8.764561
Myra skole;Arendal;55;52;51;58.484573;8.732923
Nedenes skole;Arendal;48;49;47;58.4131671;8.7094974
Nesheim skole;Arendal;46;50;49;58.517195;8.781854
Roligheden skole Barne-/Ungdomstrinnet;Arendal;50;53;51;58.455447;8.803997
Rykene oppvekstsenter avd skole;Arendal;*;*;*;0;0
Sandnes skole;Arendal;49;47;46;68.584484;14.909814
St. Franciskus skole;Arendal;*;*;*;58.4577927;8.7659565
Stiftelsen steinerskolen i Arendal;Arendal;40;42;49;0;0
Stinta skole barne- og Ungdomstrinnet;Arendal;51;44;44;58.462557;8.7579788
Strømmen oppvekstsenter avd skole;Arendal;44;46;44;0;0
Stuenes skole barne- og Ungdomstrinn;Arendal;48;43;48;58.492494;8.847901
Birkeland skole;Birkenes;*;*;*;58.3208908;8.2415812
Engesland skole;Birkenes;*;*;*;58.52942;8.11796
Herefoss skole;Birkenes;;;;58.519119;8.353069
Bygland skule;Bygland;*;*;*;58.831722;7.798301
Byglandsfjord skule;Bygland;*;*;*;58.666517;7.812333
Bykle barne- og ungdomsskule;Bykle;*;*;*;59.3567449;7.3586337
Fjellgardane skule;Bykle;*;*;*;59.5639832;7.3558341
Evje barneskule;Evje og Hornnes;53;45;48;58.590928;7.82098
Hornnes barneskule;Evje og Hornnes;50;50;49;58.567555;7.763544
Borhaug skole;Farsund;54;49;54;58.0998155;6.585855
Farsund barneskole;Farsund;52;49;50;58.0928756;6.7954073
Vanse skole;Farsund;51;47;47;58.1045097;6.6946259
Gyland skole;Flekkefjord;*;*;*;58.37619;6.834008
Hidra skole;Flekkefjord;*;*;*;58.232993;6.554486
Sira skole;Flekkefjord;51;48;52;58.415733;6.660056
Sunde skole;Flekkefjord;49;47;49;58.960909;5.623613
Froland barneskole;Froland;*;*;*;58.512397;8.632294
Mykland skole;Froland;*;*;*;58.632134;8.294034
Abel skole;Gjerstad;48;49;52;58.839058;9.094655
Eide skole;Grimstad;*;*;53;58.2691361;8.5048766
Fevik skole;Grimstad;47;46;49;58.381716;8.679816
Fjære barneskole;Grimstad;50;50;49;58.3698544;8.622854
Frivoll skole;Grimstad;53;47;*;58.3466;8.577291
Hesnes skole montessoriskolen i Grimstad;Grimstad;*;*;*;58.343523;8.618342
Holviga barneskole;Grimstad;51;50;53;58.324293;8.567059
Jappa skole;Grimstad;46;49;46;58.348336;8.588836
Landvik skole;Grimstad;47;48;49;58.3490726;8.5351871
Eiken skule;Hægebostad;46;46;55;58.487218;7.19692
Kollemo skule;Hægebostad;46;48;53;58.383446;7.215788
Iveland skole;Iveland;46;46;45;58.456334;7.919944
Brattbakken skole;Kristiansand;51;47;48;58.1786705;8.0918534
Fagerholt skole;Kristiansand;50;49;48;58.1793204;8.0340622
Finsland skole;Kristiansand;46;47;47;58.2736055;7.585993
Flekkerøy skole;Kristiansand;46;49;48;58.078851;7.995235
Hellemyr skole;Kristiansand;47;48;47;58.1474858;7.9357089
Hellemyr skole Kompetanse;Kristiansand;;;;58.1473505;7.9367722
Justvik skole;Kristiansand;55;53;54;58.2039818;8.0300722
Karl Johans Minne skole;Kristiansand;55;48;48;58.1482673;7.9558781
Karuss skole;Kristiansand;48;46;46;58.1292669;7.9499914
Kringsjå skole;Kristiansand;56;54;57;59.9625895;10.7299529
Kristiansand Internasjonale skole;Kristiansand;*;*;*;58.156184;8.018051
Krossen skole;Kristiansand;52;48;48;58.1534313;7.9547858
Krossen skole - Kompetanse;Kristiansand;;;;58.1539482;7.9535881
Langenes skole;Kristiansand;50;52;50;58.078205;7.855842
Lovisenlund skole;Kristiansand;53;55;54;58.1564012;8.0096264
Lunde skole;Kristiansand;49;49;49;58.0967352;7.7711289
Mosby oppvekssenter skole;Kristiansand;56;51;52;58.2203603;7.9239569
Nygård skole;Kristiansand;49;46;48;58.089446;7.816021
Oasen skole Birkelid AS;Kristiansand;49;42;46;0;0
Oasen skole Strømme AS grunnskole;Kristiansand;*;*;*;0;0
Oasen skole Vågsbygd AS;Kristiansand;*;*;*;0;0
Odderhei skole;Kristiansand;48;52;53;58.1341882;8.076199
Presteheia skole;Kristiansand;47;51;52;58.16641;8.0110319
Rosseland skole;Kristiansand;*;*;*;58.134302;7.858253
Samfundets skole Sentrum;Kristiansand;47;50;52;58.149636;7.993728
Sjøstrand skole;Kristiansand;49;52;53;58.1019688;7.9759944
Slettheia skole;Kristiansand;48;44;43;58.1331082;7.9614618
Solholmen skole;Kristiansand;50;52;54;58.1479291;7.9696061
Stiftelsen steinerskolen i Kristiansand;Kristiansand;*;*;*;0;0
Strømme skole;Kristiansand;48;49;47;58.1529083;8.0814148
Tordenskjoldsgate skole;Kristiansand;53;46;51;58.1501825;7.9925454
Torridal skole;Kristiansand;52;45;50;58.2044254;7.927384
Tunballen skole;Kristiansand;51;48;50;58.169123;7.858572
Vardåsen skole;Kristiansand;48;53;48;59.8194701;10.3792916
Ve skole;Kristiansand;48;46;48;58.207817;8.110378
Voiebyen skole;Kristiansand;47;44;46;58.1004299;7.94905
Vågsbygd skole;Kristiansand;51;49;51;58.1240155;7.9564345
Wilds Minne skole;Kristiansand;48;48;50;58.1494345;8.0239556
Austerdalen skole;Kvinesdal;48;45;47;58.356228;7.033009
Feda skole;Kvinesdal;53;50;52;58.270544;6.817146
Kvinlog skule;Kvinesdal;*;*;*;58.5208294;6.9324785
Liknes skole;Kvinesdal;50;48;51;58.3132;6.965267
Vesterdalen skole;Kvinesdal;*;*;*;58.384629;6.957211
Justøy skole - montessoriskolen i Lillesand Sti;Lillesand;*;*;*;0;0
Lillesand kommune - Borkedalen skole;Lillesand;51;50;52;0;0
Lillesand kommune - Brentemoen skole;Lillesand;*;48;*;0;0
Lillesand kommune - Høvåg skole;Lillesand;45;*;*;0;0
Lillesand kommune - Tingsaker skole;Lillesand;55;51;57;0;0
Bjelland skole;Lindesnes;*;*;*;58.383364;7.525785
Frøysland skole;Lindesnes;52;50;52;58.037979;7.453255
Furulunden skole;Lindesnes;53;48;49;58.024961;7.446878
Holum skole;Lindesnes;48;49;50;58.096895;7.522335
Ime skole;Lindesnes;50;48;50;58.033417;7.492194
Laudal skole;Lindesnes;*;*;*;58.2475881;7.4982189
Nyplass skole;Lindesnes;45;46;44;58.081044;7.312257
Oasen skole Mandal AS;Lindesnes;*;*;*;0;0
Spangereid skole;Lindesnes;50;51;50;58.0472581;7.1354322
Vigmostad skole;Lindesnes;*;*;*;58.201928;7.337459
Øyslebø skole;Lindesnes;50;52;47;58.1711322;7.5587268
Berge barneskole;Lyngdal;52;49;50;58.1364648;7.068251
Byremo barneskule;Lyngdal;49;51;51;58.4231356;7.4042642
Konsmo skole;Lyngdal;56;56;53;58.2997439;7.3611687
Kvås skole;Lyngdal;*;*;*;58.246447;7.185249
Stiftelsen Lyngdal Kristne grunnskole;Lyngdal;50;52;51;0;0
Å barneskole;Lyngdal;53;50;52;0;0
Årnes skole;Lyngdal;*;*;*;60.129706;11.476634
Hope oppvekstsenter Avdeling skole;Risør;*;*;*;0;0
Risør barneskole;Risør;49;49;*;58.716532;9.219084
Søndeled skole;Risør;*;*;49;58.762854;9.081439
Sinnes skule;Sirdal;*;*;*;58.913905;6.884116
Tonstad skule;Sirdal;*;*;*;58.671944;6.721219
Tvedestrand barneskole;Tvedestrand;52;51;50;58.6293317;8.9374461
Valle skule;Valle;*;*;*;62.47841;6.661038
Vegårshei skule;Vegårshei;49;48;52;58.75259;8.861058
Eikeland oppvekstsenter Avdeling skole;Vennesla;43;44;45;0;0
Kvarstein skole;Vennesla;47;50;53;58.237717;7.939567
Moseidmoen skole;Vennesla;43;42;43;58.2602514;7.9581254
Oasen skole Vennesla AS;Vennesla;51;50;49;0;0
Skarpengland skole;Vennesla;51;45;45;58.2946496;7.8526035
Vennesla skole;Vennesla;52;51;51;58.2759824;7.9724086
Åmli skule;Åmli;47;46;50;58.772319;8.49638
Åseral barne- og ungdomsskule;Åseral;*;*;*;58.61885;7.420922
Arnestad skole;Asker;52;55;57;59.802259;10.489535
Billingstad skole;Asker;53;53;54;59.8748103;10.4733436
Blakstad skole;Asker;44;48;46;59.8126073;10.4559585
Bondi skole;Asker;51;52;50;59.8241209;10.439695
Brusetkollen skole og ressurssenter;Asker;;;;59.8522769;10.459565
Drengsrud skole;Asker;49;49;48;59.8291591;10.4030218
Folkestad skole;Asker;*;*;*;59.551606;10.465046
Frydenlund skole;Asker;53;51;48;68.4412587;17.4152958
Hagaløkka skole;Asker;50;48;49;59.8304179;10.422298
Heggedal skole;Asker;49;45;47;59.791514;10.4449062
Hofstad skole;Asker;52;53;56;59.8478507;10.4717594
Hvalstad skole;Asker;53;52;51;59.8604039;10.4654071
Hyggen skole;Asker;49;50;55;59.716743;10.3727492
Jansløkka skole;Asker;47;52;51;59.8489188;10.4435331
Mellom-Nes skole;Asker;51;52;55;59.8663559;10.4965892
Midtbygda skole;Asker;52;50;48;62.616535;9.567065
Nesøya skole;Asker;50;49;52;59.8692011;10.518609
Nærsnes skole;Asker;49;51;47;59.7550694;10.5049964
Rønningen skole;Asker;55;52;51;59.8182215;10.4287453
Slemmestad barneskole;Asker;50;48;48;59.7793429;10.4913742
Solberg skole;Asker;*;*;*;59.763357;10.077614
Spikkestad skole;Asker;48;49;49;59.7494921;10.3360997
Steinerskolen i Asker skole;Asker;46;47;49;0;0
Steinerskolen i Hurum Sti;Asker;*;*;*;0;0
Stiftelsen Asker International School;Asker;65;45;57;0;0
Stiftelsen Vollen montessoriskole;Asker;*;*;*;0;0
Sydskogen skole;Asker;50;48;48;59.7596789;10.4525153
Sætre skole;Asker;49;48;48;59.570211;9.273259
Tofte skole;Asker;46;41;42;59.5416449;10.554122
Torvbråten skole;Asker;48;47;48;59.7615417;10.4796738
Vardåsen skole;Asker;53;55;53;59.8194701;10.3792916
Vettre skole;Asker;52;52;52;59.8256635;10.4692543
Aurskog-Høland kommune - Aursmoen skole;Aurskog-Høland;50;48;47;0;0
Aurskog-Høland kommune - Bjørkelangen skole;Aurskog-Høland;49;46;44;0;0
Aurskog-Høland kommune - Bråte skole;Aurskog-Høland;46;47;47;0;0
Aurskog-Høland kommune - Haneborg skole;Aurskog-Høland;48;51;52;0;0
Aurskog-Høland kommune - Løken skole;Aurskog-Høland;48;44;44;0;0
Aurskog-Høland kommune - Rømskog skole;Aurskog-Høland;*;*;*;0;0
Aurskog-Høland kommune - Setskog oppvekstsenter - skole;Aurskog-Høland;*;*;*;0;0
Anna Krefting skole;Bærum;52;54;51;59.9488103;10.5133311
Bekkestua barneskole;Bærum;55;52;55;59.9239072;10.5897697
Blommenholm skole;Bærum;50;52;53;59.8985044;10.5484334
Bryn og Hammerbakken skole Bryn skole;Bærum;47;49;51;59.9205629;10.4950095
Eikeli skole;Bærum;52;53;53;59.9375584;10.6044264
Eiksmarka skole;Bærum;49;53;53;59.9480159;10.623141
Emma Hjorth skole;Bærum;50;45;47;59.8964789;10.4873517
Evje skole;Bærum;52;48;43;59.8987292;10.5148549
Grav skole;Bærum;50;51;52;59.9284162;10.6084974
Gullhaug skole;Bærum;49;49;51;59.9450763;10.4914306
Haslum skole;Bærum;49;50;51;59.925008;10.570385
Hosle skole;Bærum;53;56;54;59.9348123;10.584765
Høvik skole;Bærum;55;55;56;59.760162;10.2396001
Høvik Verk skole;Bærum;51;55;53;59.893818;10.570734
Jar skole;Bærum;52;54;54;59.920452;10.625571
Jong skole;Bærum;53;52;53;59.8873598;10.5091761
Levre skole;Bærum;49;49;49;59.9068397;10.5088718
Lommedalen skole;Bærum;48;49;50;59.9607871;10.4737578
Lysaker skole;Bærum;52;50;50;59.9096682;10.6173232
Løkeberg skole;Bærum;47;53;55;59.9096897;10.5483153
Oksenøya skole;Bærum;52;49;51;59.8984944;10.6108613
Oslo International School;Bærum;58;48;55;59.9196503;10.5832691
Rykkinn skole;Bærum;50;48;48;59.9299674;10.474445
Skui skole;Bærum;50;47;45;59.9271543;10.4472109
Snarøya skole;Bærum;51;49;50;59.888472;10.6230547
Stabekk skole;Bærum;53;52;57;59.9154946;10.5932701
Steinerskolen i Bærum Grunnskoleundervisning;Bærum;44;51;48;59.930249;10.60661
Stiftelsen Bærum montessoriskole;Bærum;49;49;55;0;0
Storøya skole;Bærum;52;51;54;59.893952;10.609953
Tanum skole;Bærum;48;53;53;59.885377;10.477058
Bønsmoen skole;Eidsvoll;49;42;44;60.283946;11.17933
Dal skole;Eidsvoll;50;47;48;59.7448728;10.6974616
Eidsvoll Verk skole;Eidsvoll;50;48;54;60.293558;11.158345
Feiring skole;Eidsvoll;48;46;*;60.4924065;11.1542598
Langset skole;Eidsvoll;*;*;56;60.4035025;11.2399196
Råholt skole;Eidsvoll;50;49;50;60.2734831;11.1891728
Steinerskolen på Eidsvoll;Eidsvoll;*;*;*;60.286582;11.240897
Vilberg skole;Eidsvoll;52;50;49;60.6486598;10.8299005
Ås skole;Eidsvoll;55;50;50;60.329318;11.2151041
Kirkebygden barne- og ungdomsskole;Enebakk;54;49;51;59.7663725;11.1490756
Stranden skole;Enebakk;51;47;48;59.8229826;11.1663221
Ytre Enebakk skole;Enebakk;51;50;51;59.7208951;11.056512
Dal skole;Frogn;54;51;50;59.7448728;10.6974616
Drøbak Montessori barneskole AS;Frogn;*;*;*;0;0
Drøbak skole;Frogn;58;49;50;59.6672255;10.6347553
Dyrløkkeåsen skole;Frogn;49;46;46;59.6674657;10.6556839
Heer skole;Frogn;*;*;*;59.6835312;10.6628232
Sogsti skole;Frogn;53;49;50;59.6545812;10.6465293
Gjerdrum barneskole;Gjerdrum;50;48;49;60.0709621;11.0380711
Veståsen skole;Gjerdrum;52;51;50;60.0833663;10.9983622
Hurdal skole og kultursenter avd skole;Hurdal;*;*;*;0;0
Hurdal steinerskole;Hurdal;*;*;*;60.4085572;11.0510112
Bergerbakken skole;Jevnaker;49;49;50;60.2384093;10.3549972
Toso skole;Jevnaker;50;47;43;60.2378267;10.4247958
Asak skole;Lillestrøm;47;50;54;59.9930604;11.108926
Blaker skole;Lillestrøm;49;45;50;59.9904606;11.3721399
Brånås skole;Lillestrøm;52;49;49;59.9980929;11.0228659
Dalen skole;Lillestrøm;47;47;46;59.8762306;11.218963
Frogner skole;Lillestrøm;52;46;48;60.0254365;11.103104
Frydenlund skole og ressurssenter;Lillestrøm;;;;0;0
Garderåsen skole;Lillestrøm;53;53;53;59.9422593;11.1535736
Gjellerås skole;Lillestrøm;52;47;47;59.9662106;11.0001965
Hovinhøgda skole;Lillestrøm;52;49;48;59.9321862;11.1419808
Kjeller skole;Lillestrøm;51;50;51;59.9742877;11.0399084
Kjellervolla skole;Lillestrøm;50;48;46;59.9649947;11.0442783
Oks friskole Sti;Lillestrøm;56;51;52;0;0
Riddersand skole;Lillestrøm;51;47;47;59.917226;11.169982
Sagdalen skole;Lillestrøm;51;45;48;59.950985;11.011879
Skjetten skole;Lillestrøm;51;47;48;59.9599672;10.9966942
Sten-Tærud skole;Lillestrøm;54;52;52;59.9955063;11.0405668
Sørum skole;Lillestrøm;48;48;47;60.0107612;11.236591
Sørumsand skole;Lillestrøm;53;48;48;59.979004;11.2334026
Vesterskaun skole;Lillestrøm;51;46;46;60.0214556;11.1654336
Vigernes skole;Lillestrøm;52;49;50;59.9551457;11.0717551
Volla skole;Lillestrøm;51;47;46;59.9650925;11.0441717
Åsenhagen skole;Lillestrøm;50;48;49;60.0088209;11.033627
Grua skole;Lunner;50;47;46;60.2586759;10.6605932
Harestua skole;Lunner;47;50;49;60.2110977;10.7130379
Lunner barneskole;Lunner;46;48;47;60.2966283;10.5577044
Benterud skole;Lørenskog;50;47;46;60.159879;10.249777
Finstad skole;Lørenskog;50;51;50;59.7158004;10.8220352
Fjellhamar skole;Lørenskog;50;48;46;59.9385768;10.9781045
Kurland skole;Lørenskog;53;53;52;59.9331299;11.0182876
Luhr skole;Lørenskog;51;49;48;59.9434059;10.9554905
Lørenskog friskole;Lørenskog;52;54;53;59.931378;10.929107
Rasta skole;Lørenskog;55;52;50;59.920513;10.938593
Rudolf steinerskolen Lørenskog Sti;Lørenskog;43;45;42;0;0
Solheim skole;Lørenskog;55;49;53;59.9299351;10.9542929
Åsen skole;Lørenskog;52;46;48;61.026777;10.753892
Eltonåsen skole;Nannestad;47;46;44;60.13167;11.014821
Kringler-Slattum skole;Nannestad;52;51;52;60.1713182;10.9951456
Maura skole;Nannestad;50;45;46;60.257005;11.04067
Preståsen skole;Nannestad;52;50;47;60.222015;11.026929
Auli skole;Nes;51;43;44;60.035082;11.360623
Fenstad skole;Nes;52;48;52;60.2156359;11.4020068
Fjellfoten skole;Nes;55;48;48;60.093182;11.474796
Framtun skole;Nes;46;42;45;60.060872;11.409578
Hoppensprett Akademiet Brårud AS;Nes;*;*;*;0;0
Neskollen skole;Nes;50;49;50;60.125442;11.3394039
Romerike International School Sti;Nes;*;*;*;0;0
Skogbygda skole;Nes;51;47;51;60.2283522;11.5155903
Østgård skole;Nes;45;45;51;60.120193;11.530076
Årnes skole;Nes;48;48;49;60.129706;11.476634
Berger skole;Nesodden;47;50;46;61.89333;11.076386
Bjørnemyr skole;Nesodden;49;50;50;59.8286715;10.6412046
Fjellstrand skole;Nesodden;56;57;55;59.7964325;10.6228268
Jaer skole;Nesodden;54;57;52;59.7906901;10.6901685
Myklerud skole;Nesodden;48;48;50;59.7465612;10.6138539
Nesoddtangen skole;Nesodden;48;52;50;59.854107;10.665036
Rudolf steinerskolen stiftelsen avd Undervisning;Nesodden;37;49;43;0;0
Elvetangen skole;Nittedal;52;52;51;60.1123359;10.8483702
Holumskogen skole;Nittedal;49;48;47;59.98366;10.938499
Rotnes skole;Nittedal;49;52;49;60.055015;10.873204
Slattum skole;Nittedal;51;49;50;60.0095081;10.9162318
Sørli skole;Nittedal;51;54;55;60.0580758;10.8526188
Ulverud skole;Nittedal;50;49;50;59.9962577;10.9211237
Bøleråsen skole;Nordre Follo;50;50;48;59.763816;10.856641
Finstad skole;Nordre Follo;50;49;51;59.7158004;10.8220352
