Skole;Engelsk;Lesing;Regning
Abildsø skole;50;54;52
Ammerud skole;49;50;50
Bakås skole;50;50;47
Bekkelaget skole;52;55;53
Berg skole;54;56;57
Bestum skole;56;58;56
Bjølsen skole;52;52;52
Bjørndal skole;54;52;51
Bjørnsletta skole;54;53;55
Bogstad skole;53;57;59
Bolteløkka skole;54;54;51
Bryn skole;49;44;45
Brynseng skole;50;51;52
Bygdøy skole;54;56;54
Bøler skole;51;52;52
Disen skole;54;58;56
Ekeberg skole;54;55;54
Ellingsrudåsen skole;51;46;47
Fernanda Nissen skole;50;49;50
Furuset skole;55;47;49
Gamlebyen skole;52;48;49
Godlia skole;54;53;53
Grefsen skole;52;56;56
Grindbakken skole;54;56;55
Grorud skole;49;44;43
Grünerløkka skole;49;50;48
Hallagerbakken skole;52;48;52
Hasle skole;52;53;52
Haugen skole;50;46;44
Haugenstua skole;48;43;43
Holmen skole;53;56;56
Huseby skole;57;59;59
Høybråten skole;51;53;50
Høyenhall skole;48;52;50
Ila skole;54;54;53
Jeriko skole;53;52;52
Kampen skole;51;49;49
Karlsrud skole;54;55;55
Kastellet skole;54;53;55
Kjelsås skole;52;57;55
Klemetsrud skole;52;48;46
Korsvoll skole;50;56;57
Kringsjå skole;48;53;54
Lakkegata skole;56;53;52
Lambertseter skole;47;47;46
Lilleaker skole;53;54;58
Lilleborg skole;51;56;53
Lindeberg skole;52;44;48
Linderud skole;50;45;47
Ljan skole;52;54;55
Lusetjern skole;48;46;43
Lutvann skole;51;44;45
Lycee Francais Rene Cassin Doslo;57;50;53
Lysejordet skole;52;54;54
Løren skole;52;50;48
Majorstuen skole;54;50;51
Manglerud skole;52;51;50
Maridalen skole;50;53;59
Marienlyst skole;53;55;54
Mortensrud skole;53;45;45
Munkerud skole;51;55;55
Møllergata skole;51;48;51
Nedre Bekkelaget skole;53;52;56
Nordpolen skole;50;56;53
Nordseter skole;51;55;55
Nordstrand skole;54;58;56
Nordtvet skole;52;44;47
Norlights International School Oslo AS;59;46;46
Nøklevann skole;53;50;51
Oppsal skole;51;50;51
Oslo montessoriskole;51;51;55
Prinsdal skole;54;49;51
Refstad skole;52;52;50
Rommen skole;55;48;48
Rosenholm skole;53;45;47
Rudolf steinerskolen i Oslo;40;47;47
Ruseløkka skole;52;49;48
Rustad skole;51;51;50
Ryenberget skole;47;43;45
Rødtvet skole;47;48;47
Sagene skole;49;48;49
Seterbråten skole;50;45;44
Sinsen skole;56;52;57
Skjønnhaug skole;55;54;49
Skøyen skole;51;55;56
Slemdal skole;54;54;55
Smestad skole;56;56;57
St Sunniva skole Avd Undervisning;52;51;49
Steinerskolen på Nordstrand;43;52;50
Stenbråten skole;53;49;48
Stiftelsen montessoriskolen Lyse;55;55;54
Stovner skole;56;50;51
Svendstuen skole;50;52;55
Teglverket skole Barne- og ungdomsskole;51;49;48
Tiurleiken skole;51;48;47
Tonsenhagen skole;50;53;53
Toppåsen skole;53;52;52
Trasop skole;55;57;54
Trosterud skole;51;47;48
Tveita skole;54;50;48
Tøyen skole;50;47;46
Tåsen skole;52;56;54
Ullevål skole;53;57;52
Uranienborg skole;54;50;52
Vahl skole;49;43;44
Veitvet skole;47;45;44
Vestli skole;51;43;47
Vinderen skole;53;54;54
Voksen skole;54;55;57
Vollebekk skole;54;54;53
Vålerenga skole;51;54;50
Østensjø skole;52;54;53
Årvoll skole;52;53;52
