Skole;Engelsk;Lesing;Regning;lat;lng
Abildsø skole;50;54;52;59.8817366;10.8264847
Ammerud skole;49;50;50;59.9650676;10.8744148
Bakås skole;50;50;47;59.937376;10.9107874
Bekkelaget skole;52;55;53;59.8825291;10.7849609
Berg skole;54;56;57;59.9495841;10.7417224
Bestum skole;56;58;56;59.9237086;10.654051
Bjølsen skole;52;52;52;59.9397534;10.7574078
Bjørndal skole;54;52;51;59.8251415;10.8369881
Bjørnsletta skole;54;53;55;59.928654;10.6425735
Bogstad skole;53;57;59;59.9609792;10.6362407
Bolteløkka skole;54;54;51;59.9276451;10.7349896
Bryn skole;49;44;45;59.9144452;10.8230093
Brynseng skole;50;51;52;59.9087469;10.8110299
Bygdøy skole;54;56;54;59.9056108;10.6771206
Bøler skole;51;52;52;59.8838953;10.8491743
Disen skole;54;58;56;59.94825;10.7946777
Ekeberg skole;54;55;54;59.8944652;10.7846357
Ellingsrudåsen skole;51;46;47;59.9355404;10.9208346
Fernanda Nissen skole;50;49;50;59.946595;10.770431
Furuset skole;55;47;49;59.9392823;10.8913777
Gamlebyen skole;52;48;49;59.9065777;10.7710763
Godlia skole;54;53;53;59.9072803;10.8468375
Grefsen skole;52;56;56;59.9546418;10.7740032
Grindbakken skole;54;56;55;59.9680628;10.6470207
Grorud skole;49;44;43;59.9585352;10.8837023
Grünerløkka skole;49;50;48;59.9263962;10.7620568
Hallagerbakken skole;52;48;52;59.8410808;10.7918545
Hasle skole;52;53;52;59.9219586;10.7897916
Haugen skole;50;46;44;59.9477943;10.9052859
Haugenstua skole;48;43;43;59.9538383;10.9202333
Holmen skole;53;56;56;59.953213;10.6753914
Huseby skole;57;59;59;59.9457881;10.6535147
Høybråten skole;51;53;50;59.9467247;10.9267087
Høyenhall skole;48;52;50;59.8991779;10.81295
Ila skole;54;54;53;59.9275604;10.7456942
Jeriko skole;53;52;52;59.933752;10.8860758
Kampen skole;51;49;49;59.9127031;10.7834084
Karlsrud skole;54;55;55;59.8778455;10.8101561
Kastellet skole;54;53;55;59.8729364;10.7928275
Kjelsås skole;52;57;55;59.9663327;10.7854903
Klemetsrud skole;52;48;46;59.8349166;10.844471
Korsvoll skole;50;56;57;59.9639436;10.7524614
Kringsjå skole;48;53;54;59.9625895;10.7299529
Lakkegata skole;56;53;52;59.9198145;10.7677349
Lambertseter skole;47;47;46;59.8716392;10.8160687
Lilleaker skole;53;54;58;59.923186;10.639382
Lilleborg skole;51;56;53;59.9332473;10.7648266
Lindeberg skole;52;44;48;59.9314545;10.8801598
